Product_Name,Page_Link,User_Rating,Product_Review
Kentucky Brunch Brand Stout,https://www.beeradvocate.com/beer/profile/23222/78820/,4.8,"2016 Silver Wax. Aroma has whiskey, maple, toffee and umami. Taste has wood barrel, umami, dark fruit, maple and toffee. Bitter cacao and coffee aftertaste."
Kentucky Brunch Brand Stout,https://www.beeradvocate.com/beer/profile/23222/78820/,4.74,"The beer pours Pitch Black with a frothy tan head. The bottle gushed when I opened it. It smells and tastes of maple syrup, coffee, creams brûlée, vanilla, and warm bourbon. The feel is slick and smooth."
Kentucky Brunch Brand Stout,https://www.beeradvocate.com/beer/profile/23222/78820/,4.68,"Probably the smoothest beer I have ever had. Smelled better than it tasted. Lots of notes on the nose from vanilla to caramel/Maple to figs, but the taste didn't follow suit and it mostly being Maple supported by the others notes on the nose and barrel. No discernible alcohol present but the bourbon flavor was there from start to finish. Carbonation was lacking and would have helped the beer. Overall this was an excellent beer on par with Mexican Cake Reserva."
Kentucky Brunch Brand Stout,https://www.beeradvocate.com/beer/profile/23222/78820/,5,"Dark black, very thick, a little bit of tan head. Smells amazing - coffee and a little bit of maple jump out at you, along with chocolate and vanilla and other sweet smells. The taste is no letdown either, coffee is more up front, and maple is on the back end, with a lot of caramel / chocolate / dark fruit in the middle. Super thick mouthfeel with zero alcohol burn.', ""I was fully prepared to be disappointed by this beer - not that I expected it to be bad, but just that it might not blow me away. I was wrong. Probably the best beer I've ever had."
Kentucky Brunch Brand Stout,https://www.beeradvocate.com/beer/profile/23222/78820/,4.97,"Poured black as ink with thin ruby edges at 58 degrees; fast fizzy cinnamon brown head; no cap retention, ring or lace; medium legs on swirl. Strong maple nose with molasses and roast coffee grind right behind. Sweet maple syrup and molasses up front; bitter roast coffee; dark fruit - cherries and plums with chocolate middle; no booze; maple and coffee on backend. Thick almost chewy feel; heavy full body; rich velvety tongue coating; no barrel or astringency; warming from 12%; creamy feel/linger on tongue. Overall awesome; strong long lasting maple nose; main flavors are in harmony; subtle dark fruit and chocolate notes add layers complimenting the whole; no hint of whiskey or barrel notes; and the feel is superb; world class!"
Kentucky Brunch Brand Stout,https://www.beeradvocate.com/beer/profile/23222/78820/,4.75,"she’s got heat....but man is she somethin nice! lots of barrel presence. maple goodness on the nose. thick and chewy. flavor is all barrel, booze and molasses. What a treat."
Kentucky Brunch Brand Stout,https://www.beeradvocate.com/beer/profile/23222/78820/,5,Amazing brew. The maple aroma pours out of this bottle upon cracking. The pour was pitch black with a nice brownish red head. Carbonation holds and the beer is thicc AF
Kentucky Brunch Brand Stout,https://www.beeradvocate.com/beer/profile/23222/78820/,4.3,"Finally got to try the white whale. Pours like syrup, smells like syrup. Seems like it should be just a perfect beer, but I don't think TG does coffee as well as the other best breweries. I definitely got some green pepper."
Kentucky Brunch Brand Stout,https://www.beeradvocate.com/beer/profile/23222/78820/,4.85,"Had this on tap at the 12-15-18 release in Decorah. The aroma on this was amazing and was a step above the flavor. This beer is a very good mix of coffee, barrel and maple but just shy of a perfect rating. Maybe because the expectations are so crazy high?"
Kentucky Brunch Brand Stout,https://www.beeradvocate.com/beer/profile/23222/78820/,4.89,"Had this on tap At the KBBS release 12/15/18 pour was super dark, no head even when i attempted to swirl it. great aroma, lots of coffee and barrel. Taste was silky velvety smooth. Overall an amazing beer."
Kentucky Brunch Brand Stout,https://www.beeradvocate.com/beer/profile/23222/78820/,4.3,"Great beer, but didn't seem to be worth the hype. For a $1000 secondary market, should have been perfect, and just failed to miss the mark for me. The nose was incredible, but the taste almost had a metallic tinge to it."
Kentucky Brunch Brand Stout,https://www.beeradvocate.com/beer/profile/23222/78820/,4.91,"Batch one, 2013, Enjoyed at GAB bottle share\nPitch black thick oily rich, thick legs, touch of head', 'Nose loads of maple thick dark chocolate, cocoa, hint Smokey, roasty coffee, coffee syrup, nice barrel vanilla and thick maple, vanilla ice cream', 'Taste velvety creamy smooth thick dark chocolate, cocoa, big maple syrup, vanilla ice cream, touch of Smokey, roasty coffee, lurker nutty coffee and hint of bitterness, mild toasted oak vanilla barrel, no booze, earthy coffee late, thick dark chocolate', 'Mouth is thick rich creamy, velvety smooth, no alcohol', ""Overall incredible! Easily one of best beers I've ever had."
Kentucky Brunch Brand Stout,https://www.beeradvocate.com/beer/profile/23222/78820/,4.87,"Pouring with a thick viscosity that's damn near reduced balsamic, a blackish-brown gloss begins coating my companion's lips at first sip, like she's gone full goth. A uniform, dark mocha blanket builds over top of the void black body, but that quickly fizzles out, leaving nothing but brown staining legs that coat the glass with a swirl."", ""Hypnotizing aromas of deep, dark smoky maple swirl into a luscious malt that brings to mind dark cocoa wafer and mocha. A surprising barrel presence graces the nose without any heat, exhibiting a super oaky but dark wet char that's not spicy or overpowering. The bourbon barrel also delivers a lightly sharp toasted coconut scent as it warms."", ""Intenesly rich and smoky maple flavors are met with a deeply earthy, dark roasted coffee that I don't recall getting as much of in the numerous Mornin' Delight pours and bottles I've had over the years. Raisinets and dark cocoa wafer intermingle with the aforementioned flavors, while a substantial charred oak and bourbon complexity amps KBBS up considerably. The black peppery woodiness adds a mild heat, and the divine maple aftertaste lingers forever, with a nicely warm exhale."", 'The super viscous and velvety thick body suppresses the bourbon heat well. A slow to surface fizz brings a faint sting with it during the sticky, semi-dry yet impossibly round swallow. As you get to the bottom of the glass, it thins out a bit and becomes a bit boozier and less complex, but such is life. Nothing is ever really perfect, is it?', '2014 vintage, gold wax"
Kentucky Brunch Brand Stout,https://www.beeradvocate.com/beer/profile/23222/78820/,5,"This is the beer that I always thought Morning Delight should be - the maple syrup is prominent in the nose and taste, but not so forward and overwhelming that it becomes a bit cloying and unpleasant. The barrel is a bit subdued, but still comes through clearly.', ""KBBS is a once in a lifetime beer that I am sure I'll be chasing for a while now. As I shared this bottle with five friends, I only received about a two ounce pour - which I nursed for a bit and smelled more than tasted. It's so sweet that I think it is best enjoyed as well - let it warm up, let the oily texture because a little more fluid. It's a tremendous beer and best enjoyed very slowly."
